#
#
# US Geological Survey, Water Resources Data
# retrieved: 2016-08-08 22:19:35 -04:00	(natwebsdas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        10011500     00060          BEAR RIVER NEAR UTAH-WYOMING STATE LINE
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	year_nu	month_nu	mean_va
5s	15s	5s	10n	15s	4s	2s	12n
USGS	10011500	00060	143377		1971	12	63.4
USGS	10011500	00060	143377		1972	1	48.6
USGS	10011500	00060	143377		1972	2	44.5
USGS	10011500	00060	143377		1972	3	59.9
USGS	10011500	00060	143377		1972	4	99.0
USGS	10011500	00060	143377		1972	5	719.9
USGS	10011500	00060	143377		1972	6	1071
USGS	10011500	00060	143377		1972	7	186.3
USGS	10011500	00060	143377		1972	8	69.1
USGS	10011500	00060	143377		1972	9	62.7
USGS	10011500	00060	143377		1972	10	77.6
USGS	10011500	00060	143377		1972	11	67.4
USGS	10011500	00060	143377		1972	12	60.6
USGS	10011500	00060	143377		1973	1	52.4
USGS	10011500	00060	143377		1973	2	46.5
USGS	10011500	00060	143377		1973	3	47.1
USGS	10011500	00060	143377		1973	4	54.6
USGS	10011500	00060	143377		1973	5	616.8
USGS	10011500	00060	143377		1973	6	787.4
USGS	10011500	00060	143377		1973	7	255.1
USGS	10011500	00060	143377		1973	8	122.6
USGS	10011500	00060	143377		1973	9	109.0
USGS	10011500	00060	143377		1973	10	89.6
USGS	10011500	00060	143377		1973	11	74.4
USGS	10011500	00060	143377		1973	12	61.6
USGS	10011500	00060	143377		1974	1	58.3
USGS	10011500	00060	143377		1974	2	51.3
USGS	10011500	00060	143377		1974	3	57.1
USGS	10011500	00060	143377		1974	4	89.1
USGS	10011500	00060	143377		1974	5	793.7
USGS	10011500	00060	143377		1974	6	974.2
USGS	10011500	00060	143377		1974	7	216.4
USGS	10011500	00060	143377		1974	8	78.7
USGS	10011500	00060	143377		1974	9	63.4
USGS	10011500	00060	143377		1974	10	49.1
USGS	10011500	00060	143377		1974	11	40.6
USGS	10011500	00060	143377		1974	12	40.1
USGS	10011500	00060	143377		1975	1	42.0
USGS	10011500	00060	143377		1975	2	43.4
USGS	10011500	00060	143377		1975	3	44.2
USGS	10011500	00060	143377		1975	4	45.1
USGS	10011500	00060	143377		1975	5	244.4
USGS	10011500	00060	143377		1975	6	1090
USGS	10011500	00060	143377		1975	7	932.8
USGS	10011500	00060	143377		1975	8	134.9
USGS	10011500	00060	143377		1975	9	126.4
USGS	10011500	00060	143377		1975	10	58.4
USGS	10011500	00060	143377		1975	11	56.6
USGS	10011500	00060	143377		1975	12	49.9
USGS	10011500	00060	143377		1976	1	43.5
USGS	10011500	00060	143377		1976	2	39.2
USGS	10011500	00060	143377		1976	3	36.6
USGS	10011500	00060	143377		1976	4	80.8
USGS	10011500	00060	143377		1976	5	594.4
USGS	10011500	00060	143377		1976	6	475.3
USGS	10011500	00060	143377		1976	7	171.9
USGS	10011500	00060	143377		1976	8	56.3
USGS	10011500	00060	143377		1976	9	50.4
USGS	10011500	00060	143377		1976	10	49.0
USGS	10011500	00060	143377		1976	11	40.3
USGS	10011500	00060	143377		1976	12	28.8
USGS	10011500	00060	143377		1977	1	30.0
USGS	10011500	00060	143377		1977	2	29.9
USGS	10011500	00060	143377		1977	3	30.7
USGS	10011500	00060	143377		1977	4	98.1
USGS	10011500	00060	143377		1977	5	162.4
USGS	10011500	00060	143377		1977	6	351.8
USGS	10011500	00060	143377		1977	7	72.4
USGS	10011500	00060	143377		1977	8	42.4
USGS	10011500	00060	143377		1977	9	43.6
USGS	10011500	00060	143377		1977	10	41.5
USGS	10011500	00060	143377		1977	11	33.9
USGS	10011500	00060	143377		1977	12	35.0
USGS	10011500	00060	143377		1978	1	35.3
USGS	10011500	00060	143377		1978	2	35.3
USGS	10011500	00060	143377		1978	3	41.8
USGS	10011500	00060	143377		1978	4	97.6
USGS	10011500	00060	143377		1978	5	383.8
USGS	10011500	00060	143377		1978	6	1106
USGS	10011500	00060	143377		1978	7	281.5
USGS	10011500	00060	143377		1978	8	78.5
USGS	10011500	00060	143377		1978	9	84.0
USGS	10011500	00060	143377		1978	10	40.8
USGS	10011500	00060	143377		1978	11	37.0
USGS	10011500	00060	143377		1978	12	34.5
USGS	10011500	00060	143377		1979	1	31.3
USGS	10011500	00060	143377		1979	2	30.2
